"","ADDRESSS","name","lat","long","accuracy","format_address"
"1"," 37TH AVE 11372","POLLOS MARIO RESTAURANT AND SPORTS BAR",40.7498481,40.7498481,"route","37th Ave, Queens, NY 11372, USA"
"2"," 86TH ST 11214","HAMACHI SUSHI",40.6034985,40.6034985,"route","86th St, Brooklyn, NY 11214, USA"
"3"," AIRPORT TERMINAL 4 11430","CAMDEN FOOD COMPANY",40.6439568,40.6439568,"airport","JFK International Airport, Terminal 4, Queens, NY 11430, USA"
"4"," BTW 43 & 44 ST 10036","TAPAS & PAPAS",43.3051875,43.3051875,"street_address","43 Between the Mountains Rd, Newbury, NH 03255, USA"
"5"," CENTRAL PARK WEST 10019","(PUBLIC FARE) 81st street and central park west (Delacorte Theatre)",40.7848582,40.7848582,"route","Central Park West, New York, NY, USA"
"6"," JFK 11430","MCDONALD'S",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"7"," JFK AIRPORT 11430","DYLAN'S CANDY BAR",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"8"," LEXINGTON AVE 10017","CAFE GRUMPY",40.7530692,40.7530692,"route","Lexington Ave, New York, NY 10017, USA"
"9"," Park N. Moore St. at West S 10013","Grand Banks",40.7203139,40.7203139,"intersection","West St & N Moore St, New York, NY 10013, USA"
"10"," TERM8-A1 11430","HUDSON/EURO CAFE",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"11"," US AIRWAYS TERMINAL 11371","PRIME TAVERN/DELTA TERMINAL",38.5501113,38.5501113,"street_address","11371 Air Terminal Dr, Mascoutah, IL 62258, USA"
"12"," W 79 STREET 10024","AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT",40.7838194,40.7838194,"route","W 79th St, New York, NY 10024, USA"
"13"," WEST 15TH STREET 10011","BROOKLYN SODAWORKS",40.7398435,40.7398435,"route","W 15th St, New York, NY 10011, USA"
"14",".1-A EAST 77 ST 10021","DINING ROOM",-16.6713921,-16.6713921,"street_address","R. 1-A, 77 - St. Aeroporto, Goiânia - GO, 74075-070, Brazil"
"15","0 @ GRAND CENTRAL 10017","GRAND HYATT NEW YORK HOTEL",42.4154769,42.4154769,"intersection","Grand Ave & Central Ave, Lake Villa, IL 60046, USA"
"16","0 & GRAND CENTRAL 10017","HYATT, NY CENTRAL, ROOM SERVICE",44.200797,44.200797,"administrative_area_level_1","Olt County, Romania"
"17","0 106 STREET & 5 AVENUE 10029","MAOZ VEGETARIAN",40.7942669,40.7942669,"street_address","0 E 106th St, New York, NY 10029, USA"
"18","0 138 ST & AMSTERDAM AVE 10031","METROPOLITAN FOOD SERVICE",25.8952885,25.8952885,"street_address","0 NW 138th St, Hialeah, FL 33016, USA"
"19","0 161 STREET & RIVER AVENUE 10451","HARD ROCK CAFE",44.0807455,44.0807455,"street_address","0 161st St, Woodstock, MN 56186, USA"
"20","0 34 STREET 10001","AUNTIE ANNE'S PRETZELS",40.752981,40.752981,"route","W 34th St, New York, NY 10001, USA"
"21","0 67th Street and Central Park West 10023","TAVERN ON THE GREEN",40.7730403,40.7730403,"intersection","Central Park West & W 67th St, New York, NY 10023, USA"
"22","0 9TH AVE 10011","LE PAIN QUOTIDIEN",40.7396271,40.7396271,"street_address","0 9th Ave, New York, NY 10014, USA"
"23","0 AA TERMINAL 8 11430","WOK & ROLL",-20.2102106,-20.2102106,"street_address","R. Aa, 8 - Jardim Limoeiro, Serra - ES, Brazil"
"24","0 AMTRAK LEVEL 10001","KABOOZ'S BAR & GRILLE",40.7536854,40.7536854,"postal_code","New York, NY 10001, USA"
"25","0 BATTERY PARK 10004","TABLE GREEN CAFE",40.7032775,40.7032775,"establishment","Battery Park, New York, NY 10004, USA"
"26","0 BOND ST/ALBEE SQ PLAZA 11201","DON NICO'S",40.6986772,40.6986772,"postal_code","Brooklyn, NY 11201, USA"
"27","0 CENTRAL TAXI HOLD 11430","111 RESTAURANT",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"28","0 CENTRAL TERMINAL 11371","MAPLE LEAF LOUNGE",40.7724646,40.7724646,"route","Central Terminal Dr, East Elmhurst, NY 11371, USA"
"29","0 CENTRAL TERMINAL BLD 1 11371","FIVE GUYS FAMOUS BURGERS AND FRIES",29.5255238,29.5255238,"street_address","11371 Terminal Blvd, San Antonio, TX 78216, USA"
"30","0 CHELSEA PIERS - PIER 61 10011","PIER SIXTY ONE-THE LIGHTHOUSE",40.7464969,40.7464969,"postal_code","New York, NY 10011, USA"
"31","0 CHELSEA PIERS 10011","SPORTS CENTER CAFE",40.7465228,40.7465228,"street_address","0 Chelsea Piers, New York, NY 10011, USA"
"32","0 CHELSEA PIERS/PIER 61 10011","FAMIGLIA OF CHELSEA PIERS",40.7464969,40.7464969,"postal_code","New York, NY 10011, USA"
"33","0 DAVID DINKIN'S CIRCLE 11358","OLMSTED CAFETERIA- KIOSK",40.760743,40.760743,"postal_code","Flushing, NY 11358, USA"
"34","0 E 72ST CENTRAL PK DRIVE NORTH 10022","THE LOEB BOATHOUSE CENTRAL PARK",46.9622223,46.9622223,"street_address","10022 Central Park Dr, Aberdeen, WA 98520, USA"
"35","0 FLATIRON PUBLIC PLAZA S. 10010","FLATIRON GREEN CAFE",40.7388319,40.7388319,"postal_code","New York, NY 10010, USA"
"36","0 GRAND CENTRAL STATION TERMINAL 10017","STARBUCKS",40.7519846,40.7519846,"postal_code","New York, NY 10017, USA"
"37","0 GRAND CENTRAL TERMINAL 10017","CAFE SPICE",39.6441964,39.6441964,"route","Grand Central Station Dr, Morgantown, WV 26505, USA"
"38","0 GUARDIA AIRPORT PARKING 11371","TERMINAL CAFE/YANKEE CLIPPER",9.9986585,9.9986585,"premise","Estacionamiento del Aeropuerto, Provincia de Alajuela, Alajuela, Costa Rica"
"39","0 HIGH LINE PARK W 15TH ST 10011","BLUE BOTTLE COFFEE",40.7398435,40.7398435,"route","W 15th St, New York, NY 10011, USA"
"40","0 HIGHLINE PARK 10011","PEOPLE'S POP'S",38.2517059,38.2517059,"street_address","0 Highline Park, Marmet, WV 25315, USA"
"41","0 HIGHLINE PARK W 30 ST 10001","MELTBAKERY INC",40.8148999,40.8148999,"route","Hunts Point Ave, Bronx, NY 10474, USA"
"42","0 HUNTS POINT 10474","MARKET PLACE PIZZA",33.7074243,33.7074243,"establishment","Playground Inside Huntington Beach Central Park, 18000 Goldenwest St, Huntington Beach, CA 92647, USA"
"43","0 INSIDE CENTRAL PARK 10065","RELISH CONCESSIONS & EVENT CATERING",40.7645239,40.7645239,"postal_code","New York, NY 10065, USA"
"44","0 INSIDE CENTRAL PARK/LASKER RINK 10065","RELISH CONCESSIONS (LASKER RINK)",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"45","0 INTAIRP ARVL BLDG 11430","AIR FRANCE LOUNGE",39.9980577,39.9980577,"premise","Airport Terminal, 4600 International Gateway, Columbus, OH 43219, USA"
"46","0 J.F.K.AIRPORT-TERMINAL# 1 11430","MCDONALD'S",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"47","0 JFK AIRPORT 11430","ABITINO'S PIZZA",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"48","0 JFK BUILDING 250 11430","ROCKAWAY CAFE",40.6584068,40.6584068,"postal_code","Rosedale, NY 11422, USA"
"49","0 JFK DELTA AIRLINES 11422","STARBUCKS",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"50","0 JFK INT AIR PORT 11430","VINO VOLO",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"51","0 JFK INT'L AIRPORT 11430","BOBBY VAN'S GRILL",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"52","0 JFK INTERNATION AIRPORT 11430","URBAN  CRAVE",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"53","0 JFK INTERNATIONAL AIRPOR 11430","KOREAN LOUNGE",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"54","0 JFK INTERNATIONAL AIRPORT 11430","FOOD COURT KITCHEN",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"55","0 JFK INTERNATIONATION AIRPORT 11430","WOLFGANG PUCK EXPRESS",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"56","0 JFK INTL AIRPORT 11430","AUNTIE ANNE'S PRETZELS",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"57","0 JFK INTL. AIRPORT 11430","CIBO EXPRESS GOURMET MARKET",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"58","0 JOHN F KENNEDY INTL AIRPORT 11430","DEEP BLUE",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"59","0 JOHN F. KENNEDY INTL AIR 11430","5IVE STEAK",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"60","0 JOHN F. KENNEDY INTL AIRPORT 11430","PHILLY CHEESESTEAKS",40.7769271,40.7769271,"airport","LaGuardia Airport (LGA), Queens, NY 11371, USA"
"61","0 LA GUARDIA AIRPORT 11369","AMERICAN AIRLINES EMPLOYEE CAFETERIA",40.770493,40.770493,"route","LaGuardia Airport Entrance, East Elmhurst, NY 11371, USA"
"62","0 LAGAURDIA AIRPORT 11371","FIGS",40.770493,40.770493,"route","LaGuardia Airport Entrance, East Elmhurst, NY 11371, USA"
"63","0 LAGUARD AIRPORT 11371","GO NATURAL",40.7769271,40.7769271,"airport","LaGuardia Airport (LGA), Queens, NY 11371, USA"
"64","0 LAGUARDIA AIRPORT 11369","METRO BURGER",40.7769271,40.7769271,"airport","LaGuardia Airport (LGA), Queens, NY 11371, USA"
"65","0 LAGUARDIA AIRPORT 11371","DUNKIN' DONUTS",40.7769271,40.7769271,"airport","LaGuardia Airport (LGA), Queens, NY 11371, USA"
"66","0 LAGUARDIA AIRPORT BLDG 11371","YANKEE CLIPPER",NA,NA,NA,NA
"67","0 LAGUARDIA AIRPORT TERMINAL 11371","CIBO EXPRESS GOURMET MARKET",40.770493,40.770493,"route","LaGuardia Airport Entrance, East Elmhurst, NY 11371, USA"
"68","0 LAGUARDIA AIRPOT 11371","EMPIRE TAVERN",40.7769271,40.7769271,"airport","LaGuardia Airport (LGA), Queens, NY 11371, USA"
"69","0 LGA 11371","AUNTIE ANNE'S PRETZELS",40.7769271,40.7769271,"airport","LaGuardia Airport (LGA), Queens, NY 11371, USA"
"70","0 LGA Airport 11369","EINSTEIN BAGELS",40.7724066,40.7724066,"street_address","0 Lincoln Center Plaza, New York, NY 10023, USA"
"71","0 LINCOLN CENTER PLAZA 10023","METROPOLITAN OPERA",40.7420371,40.7420371,"establishment","Madison Square Park, Madison Ave, New York, NY 10010, USA"
"72","0 MADISON SQUARE PARK 10010","SHAKE SHACK",40.342793,40.342793,"establishment","Hobey Baker Memorial Ice Rink, 200 Elm Dr, Princeton, NJ 08540, USA"
"73","0 MEMORIAL ICE SKATING 10314","WAR MEMORIAL ICE SKATING RINK",40.110761,40.110761,"street_address","0 Station Rd, Newville, PA 17241, USA"
"74","0 PENN STATION 10001","PRIMO CAPPUCCINO II",21.3228145,21.3228145,"street_address","81 Pier, Honolulu, HI 96819, USA"
"75","0 PIER   81 10019","WORLD YACHT DUCHESS",42.3529072,42.3529072,"street_address","38 Fan Pier Boulevard, Boston, MA 02210, USA"
"76","0 PIER 78 WEST 38 STREET 10018","PIER SIDE CAFE",38.5410149,38.5410149,"street_address","10119 Pennsylvania Ave, St. Louis, MO 63111, USA"
"77","0 PLAZA PENN STATION 10119","LE BON CAFE",43.1085201,43.1085201,"street_address","0 Robert Moses Pkwy, Niagara Falls, NY 14305, USA"
"78","0 ROBERT MOSES BUILDING 10035","LUCKY'S CAFE",40.7717914,40.7717914,"street_address","0 W 65th St, New York, NY 10023, USA"
"79","0 SOUTH OF 65 STREET 10023","BALLFIELDS CAFE",40.6458145,40.6458145,"premise","Terminal 5, Jamaica, NY 11430, USA"
"80","0 TERMINAL 5 11430","DEEP BLUE ON THE FLY",40.8843355,40.8843355,"street_address","0 Van Cortlandt Park S, Bronx, NY 10463, USA"
"81","0 VAM CORTLANDT PARK SOUTH 10471","VAN CORTLANDT GOLF COURSE",40.7527817,40.7527817,"street_address","0 E 41st St, New York, NY 10017, USA"
"82","0 W 41ST ST 10019","WORLD YACHT - ST. CHARLES",NA,NA,NA,NA
"83","0 WARDS ISLAND/2FL 10057","FRATELLI'S MARKET PLACE",40.7534873,40.7534873,"street_address","0 W 42nd St, New York, NY 10036, USA"
"84","0 WEST 42 STREET 10036","CIRCLE LINE MANHATTAN",40.7940591,40.7940591,"route","W 96th St, New York, NY 10025, USA"
"85","0 WEST 96 STREET 10025","CENTRAL PARK TENNIS SNACK BAR",40.7038704,40.7038704,"postal_code","New York, NY 10004, USA"
"86","0 WHITEHALL FERRY TERMINAL 10004","EAT A BAGEL (On the Guy V. Molinari Ferry)",40.7591376,40.7591376,"route","W 44th St, New York, NY 10036, USA"
"87","00 BROADWAY BETWEEN 43RD AND 44TH ST 10036","SNACKBOX NYC",40.7045896,40.7045896,"street_address","0 Broadway, New York, NY 10004, USA"
"88","000 BWAY PLAZA 10036","VIRGIL'S REAL BARBEQUE KIOSK",40.7398082,40.7398082,"street_address","0 Ederle Promenade, Forest Hills, NY 11375, USA"
"89","000 EDERLE TERRACE FLUSHING MEADOW CORONA PK 11368","EDERLE TERRACE CAFE",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"90","000 JFK AIRPORT 11430","BAR VELOCE",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"91","000 JFK INTERNATIONAL AIRPORT 11430","AIRSPACE LOUNGE",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"92","000 JFK INTERNATIONAL LLC 11430","CIBO EXPRESS GOURMET MARKET",40.7769271,40.7769271,"airport","LaGuardia Airport (LGA), Queens, NY 11371, USA"
"93","000 LA GUARDIA AIRPORT 11371","UNITED CLUB",40.770493,40.770493,"route","LaGuardia Airport Entrance, East Elmhurst, NY 11371, USA"
"94","000 LaGiuardia Airport 11371","VOYAGE",40.7769271,40.7769271,"airport","LaGuardia Airport (LGA), Queens, NY 11371, USA"
"95","000 LAGUARDIA AIRPORT 11371","CRUST",40.7724066,40.7724066,"street_address","0 Lincoln Center Plaza, New York, NY 10023, USA"
"96","000 LINCOLN CENTER PLAZA 10023","GRAND TIER RESTAURANT @ METROPOLITAN OPERA",40.748295,40.748295,"street_address","0 Roosevelt Ave, Queens, NY 11373, USA"
"97","000 ROOSEVELT AVE 11368","CITIFIELDS CONCESSIONS",40.731903,40.731903,"street_address","1 5th Ave, New York, NY 10003, USA"
"98","1 5 AVENUE 10003","OTTO ENOTECA PIZZERIA",40.7297773,40.7297773,"premise","1 7th Ave S, New York, NY 10014, USA"
"99","1 7TH AVE S 10014","GALLO NERO III",40.7301971,40.7301971,"street_address","1 Astor Pl, New York, NY 10003, USA"
"100","1 ASTOR PL 10003","PRET A MANGER",40.7034442,40.7034442,"route","One Battery Park Plaza, New York, NY 10004, USA"
"101","1 BATTERY PARK PLAZA 10004","HUGHES HUBBARD & REED LLP",40.6434772,40.6434772,"street_address","1 Bay St, Staten Island, NY 10301, USA"
"102","1 BAY STREET 10301","AU BON PAIN",40.6719755,40.6719755,"street_address","1 Beard St, Brooklyn, NY 11231, USA"
"103","1 BEARD STREET 11231","IKEA",40.7237678,40.7237678,"street_address","1 Bedford Ave, Brooklyn, NY 11222, USA"
"104","1 BEDFORD AVENUE 11222","NIGHTS AND WEEKENDS",40.850748,40.850748,"street_address","1 Bennett Ave, New York, NY 10033, USA"
"105","1 BENNETT AVE 10033","TAM PO PO RAMEN",40.72541,40.72541,"street_address","1 Bleecker St, New York, NY 10012, USA"
"106","1 BLEECKER STREET 10012","THINK COFFEE",40.5888599,40.5888599,"route","Bouck Ct, Brooklyn, NY 11223, USA"
"107","1 BOUCK COURT 11223","SHELL LANES",40.6551816,40.6551816,"premise","1 Brookdale Plaza, Brooklyn, NY 11212, USA"
"108","1 BROOKDALE PLZ 11212","BROOKLYN CAFE 1",40.7002913,40.7002913,"establishment","Brooklyn Bridge Park, 334 Furman St, Brooklyn, NY 11201, USA"
"109","1 BROOKLYN BRIDGE PARK 11201","LIZZMONADE",40.7554698,40.7554698,"street_address","1 Bryant Park, New York, NY 10036, USA"
"110","1 BRYANT PARK 10036","BANK OF AMERICA CAFE",40.7139529,40.7139529,"street_address","1 Catherine St, New York, NY 10038, USA"
"111","1 CATHERINE ST 10038","GONG CHA",40.76912,40.76912,"premise","1 Central Park West, New York, NY 10023, USA"
"112","1 CENTRAL PARK WEST 10023","JEAN GEORGES",40.641674,40.641674,"street_address","1 Central Terminal Area, Jamaica, NY 11430, USA"
"113","1 CENTRAL TERMINAL AREA 11430","LUFTHANSA SENATOR LOUNGE",40.7078306,40.7078306,"street_address","1 Chase Manhattan Plaza, New York, NY 10005, USA"
"114","1 CHASE MANHATTAN PLAZA 10005","MILBANK TWEED HADLEY & MCCLOY",40.8374736,40.8374736,"premise","1 City Island Ave, Bronx, NY 10464, USA"
"115","1 CITY ISLAND AVE 10464","TONY'S PIER RESTAURANT",40.8634281,40.8634281,"street_address","1 City Island Rd, Bronx, NY 10464, USA"
"116","1 CITY ISLAND RD 10464","TURTLE COVE GOLF CENTER",40.6384205,40.6384205,"street_address","1 Corson Ave, Staten Island, NY 10301, USA"
"117","1 CORSON AVENUE 10301","GOLDEN PASTRY SHOP",40.7473237,40.7473237,"street_address","1 Ct Square W, Long Island City, NY 11101, USA"
"118","1 COURT SQUARE 11101","CITIBANK EMPLOYEE CAFETERIA",40.6743506,40.6743506,"street_address","1 Cross Island Plaza, Rosedale, NY 11422, USA"
"119","1 CROSS ISLAND PLAZA 11422","PETER'S ISLAND CAFE",40.7200076,40.7200076,"street_address","1 Delancey St, New York, NY 10002, USA"
"120","1 DEKALB AVE 11201","BROOKLYN ROASTING COMPANY",40.7142049,40.7142049,"street_address","1 Doyers St, New York, NY 10013, USA"
"121","1 DELANCEY STREET 10002","SEL RROSE",40.8019437,40.8019437,"street_address","1 E 118th St, New York, NY 10035, USA"
"122","1 DOYERS STREET 10013","TASTY HAND-PULLED NOODLES",40.8288189,40.8288189,"street_address","1 E 161st St, Bronx, NY 10451, USA"
"123","1 E 118TH ST 10029","118 KITCHEN",40.7617135,40.7617135,"street_address","1 E 55th St, New York, NY 10022, USA"
"124","1 E 161ST ST 10451","LEGENDS HOSPITALITY LLC",40.8539023,40.8539023,"street_address","1 E Burnside Ave, Bronx, NY 10453, USA"
"125","1 E 35TH ST 10016","",40.764873,40.764873,"street_address","1 E 60th St, New York, NY 10022, USA"
"126","1 E 55TH ST 10022","THE POLO BAR",40.7685235,40.7685235,"street_address","1 E 66th St, New York, NY 10065, USA"
"127","1 E BURNSIDE AVE 10453","KENNEDY FRIED CHICKEN",40.8288189,40.8288189,"street_address","1 E 161st St, Bronx, NY 10451, USA"
"128","1 EAST   60 STREET 10022","METROPOLITAN CLUB",40.8587917,40.8587917,"street_address","1 E 183rd St, Bronx, NY 10453, USA"
"129","1 EAST   66 STREET 10065","1 EAST 66TH STREET KITCHEN",40.8957637,40.8957637,"street_address","1 E 233rd St, Bronx, NY 10470, USA"
"130","1 EAST  161 STREET 10451","PAPA JOHN'S (STAND 310)",40.8288189,40.8288189,"street_address","1 E 161st St, Bronx, NY 10451, USA"
"131","1 EAST  183 STREET 10453","ELSA LA REINA DEL CHICHARRON 3",40.8735267,40.8735267,"street_address","1 Bedford Park Blvd, Bronx, NY 10468, USA"
"132","1 EAST  233 STREET 10470","DUNKIN' DONUTS",40.6192731,40.6192731,"street_address","1 Edgewater St, Staten Island, NY 10305, USA"
"133","1 EAST 161 STREET 10451","BLEACHER FOOD COURT",40.7026415,40.7026415,"premise","1 Front St, Brooklyn, NY 11201, USA"
"134","1 EAST BEDFORD PARK BOULEVARD 10468","BEDFORD CAFE & RESTAURANT",40.6860233,40.6860233,"premise","1 Greene Ave, Brooklyn, NY 11238, USA"
"135","1 EDGEWATER STREET 10305","LIBERTY CATERING",40.7046145,40.7046145,"premise","1 Hanover Square, New York, NY 10004, USA"
"136","1 FRONT STREET 11201","GRIMALDI'S",40.7157941,40.7157941,"street_address","1 Hudson St, New York, NY 10013, USA"
"137","1 GREENE AVE 11238","KINJO",39.1622452,39.1622452,"street_address","10036 Intrepid Ln, Gaithersburg, MD 20879, USA"
"138","1 HANOVER SQUARE 10004","HARRY'S CAFE/HARRY'S STEAK",40.7348011,40.7348011,"street_address","1 Irving Pl, New York, NY 10003, USA"
"139","1 HUDSON STREET 10013","ACAPPELLA RESTAURANT",40.716111,40.716111,"premise","1 Jackson St, Brooklyn, NY 11211, USA"
"140","1 INTREPID SQ 10036","INTREPID SEA-AIR-SPACE MUSEUM",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"141","1 IRVING PLACE 10003","SUBWAY",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"142","1 JACKSON STREET 11211","EXLEY",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"143","1 JFK 11430","TERMINAL1 EMPLOYEE CAFETERIA",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"144","1 JFK INTEL 11430","SAMMY'S BEACH BAR & GRILL",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"145","1 JFK INTERN AIRPORT 11430","BEN & JERRY'S",40.7096863,40.7096863,"street_address","1 Liberty St, New York, NY 10006, USA"
"146","1 JFK INTERNATIONAL AIRPORT 11430","DUNKIN' DONUTS",40.7206639,40.7206639,"premise","1 Lispenard St, New York, NY 10013, USA"
"147","1 JFK INTL AIRPORT BLVD 11430","STARBUCKS",40.7396608,40.7396608,"premise","1 Little W 12th St, New York, NY 10014, USA"
"148","1 KNICKERBOCKER AVE 11237","GUADALUPE INN",40.7411107,40.7411107,"street_address","1 Madison Ave, New York, NY 10010, USA"
"149","1 LA GUARDIA AIRPORT TERMINAL C 11371","LAGUARDIA USA, LLC",38.7407913,38.7407913,"route","Main Terminal, St. Louis, MO 63145, USA"
"150","1 LIBERTY PLAZA 10006","CLEARY GOTTLIEB",40.8608206,40.8608206,"premise","1 Margaret Corbin Dr, New York, NY 10040, USA"
"151","1 LISPENARD ST 10013","NANCY WHISKEY PUB",40.7076111,40.7076111,"street_address","1 Meserole St, Brooklyn, NY 11206, USA"
"152","1 LITTLE WEST 12 STREET 10014","BAGATELLE",40.6932748,40.6932748,"street_address","1 MetroTech Center, Brooklyn, NY 11201, USA"
"153","1 MADISON AVENUE 10010","OSTERIA DEL PRINCIPE",40.6932748,40.6932748,"street_address","1 MetroTech Center, Brooklyn, NY 11201, USA"
"154","1 MAIN TERMINAL 11371","FIX COFFEE & BAKERY",40.8593328,40.8593328,"street_address","1 Nagle Ave, New York, NY 10040, USA"
"155","1 MARGARET CORBIN DR 10040","NEW LEAF",40.7021004,40.7021004,"premise","1 New York Plaza, 1 FDR Drive, New York, NY 10004, USA"
"156","1 MESEROLE STREET 11206","MOUNTAIN PROVINCE",40.7021004,40.7021004,"premise","1 New York Plaza, 1 FDR Drive, New York, NY 10004, USA"
"157","1 METROTECH 11201","NATIONAL GRID",40.7756795,40.7756795,"street_address","1 New York Times Plaza, Flushing, NY 11356, USA"
"158","1 METROTECH CTR 11201","CHIPOTLE MEXICAN GRILL",40.7030151,40.7030151,"street_address","1 Old Fulton St, Brooklyn, NY 11201, USA"
"159","1 NAGLE AVE 10040","MARANELLO TRATTORIA",40.7030151,40.7030151,"street_address","1 Old Fulton St, Brooklyn, NY 11201, USA"
"160","1 NEW YORK PLAZA 10004","MORGAN STANLEY EMPLOYEE CAFETERIA",40.8715846,40.8715846,"street_address","1 Orchard Beach Rd, Bronx, NY 10464, USA"
"161","1 NEW YORK PLZ 10004","STARBUCKS",40.7113533,40.7113533,"street_address","1 Pace Plaza, New York, NY 10038, USA"
"162","1 NEW YORK TIMES PLZ 11354","HOT OFF THE PRESS",40.7511649,40.7511649,"street_address","1 Pennsylvania Plaza, New York, NY 10119, USA"
"163","1 OLD FULTON ST 11201","SHAKE SHACK",40.7511649,40.7511649,"street_address","1 Pennsylvania Plaza, New York, NY 10119, USA"
"164","1 OLD FULTON STREET 11201","BROOKLYN ICE CREAM FACTORY",40.7536854,40.7536854,"postal_code","New York, NY 10001, USA"
"165","1 ORCHARD BEACH RD 10464","ORCHARD BEACH SNACK BAR SECTION 5",40.7931957,40.7931957,"street_address","1 Randalls Is Rd, New York, NY 10035, USA"
"166","1 PACE PLAZA 10038","PACE UNIVERSITY - CAFE 101",40.7931957,40.7931957,"street_address","1 Randalls Is Rd, New York, NY 10035, USA"
"167","1 PENN PLAZA 10119","LUGO CAFFE",40.642211,40.642211,"street_address","1 Richmond Terrace, Staten Island, NY 10301, USA"
"168","1 PENN PLZ 10119","LOBSTERCRAFT NYC",40.642211,40.642211,"street_address","1 Richmond Terrace, Staten Island, NY 10301, USA"
"169","1 PENNSYLVANIA STATION (AMTRACK) 10001","ZARO'S BREAD BASKET",40.7580616,40.7580616,"street_address","1 Rockefeller Plaza, New York, NY 10020, USA"
"170","1 RANDALLS IS 10035","COFFEED",40.8569937,40.8569937,"route","Rodmans Neck, Bronx, NY 10464, USA"
"171","1 RANDALLS ISLAND 10035","RANDALLS ISLAND GOLF CENTER",40.702764,40.702764,"premise","1 State Street Plaza, New York, NY 10004, USA"
"172","1 RICHMOND TER 10301","RIVER DOCK CAFE",40.7189633,40.7189633,"street_address","1 Station Square, Flushing, NY 11375, USA"
"173","1 RICHMOND TERRACE 10301","ZZ'S PIZZA & GRILL",40.6652549,40.6652549,"street_address","1 Sutter Ave, Brooklyn, NY 11212, USA"
"174","1 ROCKEFELLER PLAZA 10020","BOUCHON BAKERY ROCKEFELLER",40.7685526,40.7685526,"premise","Time Warner Center, New York, NY 10019, USA"
"175","1 ROCKEFELLER PLZ 10020","BLUE BOTTLE COFFEE",40.7507161,40.7507161,"premise","Millennium UN Plaza, 1 United Nations Plaza, New York, NY 10017, USA"
"176","1 RODMANS NCK 10464","Snack Boss",40.730835,40.730835,"street_address","1 University Pl, New York, NY 10003, USA"
"177","1 S ELLIOTT PL 11217","cafe paulette",40.6903991,40.6903991,"street_address","1 University Plaza, Brooklyn, NY 11201, USA"
"178","1 STATE STREET PLAZA 10004","AU BON PAIN",40.8142482,40.8142482,"street_address","1 W 137th St, New York, NY 10037, USA"
"179","1 STATION SQUARE 11375","JADE EATERY AND LOUNGE",40.8574432,40.8574432,"street_address","1 W 182nd St, Bronx, NY 10453, USA"
"180","1 SUTTER AVENUE 11212","HAPPY HOUSE",40.7642202,40.7642202,"street_address","1 W 58th St, New York, NY 10019, USA"
"181","1 TIME WARNER CENTER 10019","TIME WARNER(CAFETERIA)",40.7642202,40.7642202,"street_address","1 W 58th St, New York, NY 10019, USA"
"182","1 UN PLZ 10017","CULINART INC",40.732439,40.732439,"street_address","1 W 8th St, New York, NY 10011, USA"
"183","1 UNITED NATIONS PLAZA 10017","THE AMBASSADOR GRILL AND LOUNGE",40.8630529,40.8630529,"street_address","1 W Fordham Rd, Bronx, NY 10468, USA"
