"","ADDRESSS","name","lat","long","accuracy","format_address"
"2224","1215 LIBERTY AVE 11208","MOTIN SPICE AND SWEETS",40.6792101,40.6792101,"premise","1215 Liberty Ave, Brooklyn, NY 11208, USA"
"2225","1215 MYRTLE AVE 11221","BIRDY'S",40.697549,40.697549,"premise","1215 Myrtle Ave, Brooklyn, NY 11221, USA"
"2226","1215 SURF AVENUE 11224","GRIMALDI'S",40.5758281,40.5758281,"premise","1215 Surf Ave, Brooklyn, NY 11224, USA"
"2227","1215 THIRD AVENUE 10021","PJ BERNSTEIN DELI & RESTAURANT",40.7684788,40.7684788,"street_address","1215 3rd Ave, New York, NY 10021, USA"
"2228","1215 WHITE PLAINS RD 10472","GENERAL TSO'S CHINESE RESTAURANT",40.8309484,40.8309484,"street_address","1215 White Plains Rd, Bronx, NY 10472, USA"
"2229","1216 2ND AVE 10065","BARRY'S BOOTCAMP",40.7635644,40.7635644,"street_address","1216 2nd Ave, New York, NY 10065, USA"
"2230","1216 5 AVENUE 10029","CAFE ON 5TH/STERLING AFFAIR",40.7918853,40.7918853,"street_address","1216 5th Ave, New York, NY 10029, USA"
"2231","1216 CORTELYOU RD 11218","DOMINO'S",40.6400499,40.6400499,"premise","1216 Cortelyou Rd, Brooklyn, NY 11218, USA"
"2232","1217 1ST AVE 10065","NEW WONG ASIAN FOOD",40.763974,40.763974,"premise","1217 1st Avenue, New York, NY 10065, USA"
"2233","1217 AVENUE J 11230","ESTIHAYA ASIAN RESTAURANT",40.6251268,40.6251268,"premise","1217 Avenue J, Brooklyn, NY 11230, USA"
"2234","1217 AVENUE U 11229","WING HING SEAFOOD RESTAURANT",40.5987028,40.5987028,"street_address","1217 Avenue U, Brooklyn, NY 11229, USA"
"2235","1217 CHURCH AVE 11218","DON PATRON BAR & GRILL",40.6476984,40.6476984,"premise","1217 Church Ave, Brooklyn, NY 11218, USA"
"2236","1217 LEXINGTON AVE 10028","SABA'S PIZZA",40.7770858,40.7770858,"street_address","1217 Lexington Ave, New York, NY 10028, USA"
"2237","1217 SURF AVE 11224","APPLEBEE'S",40.5758861,40.5758861,"premise","1217 Surf Ave, Brooklyn, NY 11224, USA"
"2238","1218 FOREST AVE 10310","METRO PIZZA",40.626203,40.626203,"premise","1218 Forest Ave, Staten Island, NY 10310, USA"
"2239","1218 LIBERTY AVENUE 11208","EL CASTILLO RESTAURANT",40.6788278,40.6788278,"street_address","1218 Liberty Ave, Brooklyn, NY 11208, USA"
"2240","1218 ST NICHOLAS AVENUE 10032","M & M BAR & GRILL",40.8427309,40.8427309,"street_address","1218 St Nicholas Ave, New York, NY 10032, USA"
"2241","1219 1ST AVENUE 10065","CHIRPING CHICKEN",40.763969,40.763969,"street_address","1219 1st Avenue, New York, NY 10065, USA"
"2242","1219 CHURCH AVE 11218","KETTLE & THREAD",40.6477477,40.6477477,"premise","1219 Church Ave, Brooklyn, NY 11218, USA"
"2243","1219 LEXINGTON AVENUE 10028","DULCE VIDA CAFE",40.7771463,40.7771463,"street_address","1219 Lexington Ave, New York, NY 10028, USA"
"2244","1219A CASTLE HILL AVE 10462","MASTER SMOOTHIE",40.832502,40.832502,"premise","1219 Castle Hill Ave, Bronx, NY 10462, USA"
"2245","121B NAGLE AVENUE 10040","NAGLE BAKERY",40.8606734,40.8606734,"street_address","121 Nagle Ave, New York, NY 10040, USA"
"2246","122 1ST AVE 10009","MALA PROJECT",40.7271042,40.7271042,"premise","122 1st Avenue, New York, NY 10009, USA"
"2247","122 7 AVENUE 11215","LA BAGEL DELIGHT",40.6736276,40.6736276,"premise","122 7th Ave, Brooklyn, NY 11215, USA"
"2248","122 E 42ND ST 10168","JUICE GENERATION",40.7511977,40.7511977,"street_address","122 E 42nd St, New York, NY 10168, USA"
"2249","122 E 57TH ST 10022","PALACE RESTAURANT",40.7609597,40.7609597,"premise","122 E 57th St, New York, NY 10022, USA"
"2250","122 EAST    7 STREET 10009","DESNUDA",40.7261836,40.7261836,"premise","122 E 7th St, New York, NY 10009, USA"
"2251","122 EAST   17 STREET 10003","YAMA JAPANESE RESTAURANT'",40.7358545,40.7358545,"premise","122 E 17th St, New York, NY 10003, USA"
"2252","122 EAST   27 STREET 10016","I TRULLI RESTAURANT",40.742097,40.742097,"street_address","122 E 27th St, New York, NY 10016, USA"
"2253","122 EAST   41 STREET 10017","PREVITI PIZZA",40.7509132,40.7509132,"street_address","122 E 41st St, New York, NY 10017, USA"
"2254","122 EAST   66 STREET 10065","THE COSMOPOLITAN CLUB",40.7666451,40.7666451,"premise","122 E 66th St, New York, NY 10065, USA"
"2255","122 FULTON ST 10038","DUNKIN' DONUTS",40.7099626,40.7099626,"premise","122 Fulton St, New York, NY 10038, USA"
"2256","122 GREENWICH AVENUE 10011","STARBUCKS COFFEE",40.7391981,40.7391981,"premise","122 Greenwich Ave, New York, NY 10011, USA"
"2257","122 HAMILTON PLACE 10031","SWEET CHEF SOUTHERN STYLES BAKERY",40.8241099,40.8241099,"street_address","122 Hamilton Pl, New York, NY 10031, USA"
"2258","122 LEXINGTON AVE 10016","NEW LAHORI KABAB",40.7428658,40.7428658,"premise","122 Lexington Ave, New York, NY 10016, USA"
"2259","122 LUDLOW ST 10002","ZING'S AWESOME RICE",40.7196298,40.7196298,"premise","122 Ludlow St, New York, NY 10002, USA"
"2260","122 MACDOUGAL STREET 10012","MACDOUGAL STREET ALE HOUSE",40.7298583,40.7298583,"premise","122 Macdougal St, New York, NY 10012, USA"
"2261","122 MULBERRY ST 10013","BEIJING POP KABOB RESTAURANT INC",40.7178406,40.7178406,"premise","122 Mulberry St, New York, NY 10013, USA"
"2262","122 SMITH STREET 11201","KI SUSHI",40.6876378,40.6876378,"premise","122 Smith St, Brooklyn, NY 11201, USA"
"2263","122 UNION STREET 11231","CALEXICO CARNE ASADA",40.6841104,40.6841104,"premise","122 Union St, Brooklyn, NY 11231, USA"
"2264","122 UNIVERSITY PLACE 10003","LITTLE ITALY PIZZA III",40.7347673,40.7347673,"street_address","122 University Pl, New York, NY 10003, USA"
"2265","122 WEST   26 STREET 10001","THE AINSWORTH",40.7450696,40.7450696,"premise","122 W 26th St, New York, NY 10001, USA"
"2266","122 WESTCHESTER SQ 10461","WILLIAMS CAFE",40.8407207,40.8407207,"street_address","122 Westchester Square, Bronx, NY 10461, USA"
"2267","122 WYCKOFF AVENUE 11237","INCA ROTISSERIE CHICKEN",40.7034695,40.7034695,"premise","122 Wyckoff Ave, Brooklyn, NY 11237, USA"
"2268","1220 5 AVENUE 10029","CAFE (AT THE MUSEUM OF THE CITY OF NEW YORK)",40.7925675,40.7925675,"premise","1220 5th Ave, New York, NY 10029, USA"
"2269","1220 SAINT NICHOLAS AVE 10032","EL MANANTIAL BAKERY",40.8428874,40.8428874,"street_address","1220 St Nicholas Ave, New York, NY 10032, USA"
"2270","1220 SURF AVENUE 11224","POPEYES LOUISIANA KITCHEN",40.5752858,40.5752858,"premise","1220 Surf Ave, Brooklyn, NY 11224, USA"
"2271","12209 LIBERTY AVE 11419","T&T BBQ HUT",40.6875189,40.6875189,"premise","122-09 Liberty Ave, Jamaica, NY 11419, USA"
"2272","1221 2 AVENUE 10065","CHINA FUN",40.7637492,40.7637492,"street_address","1221 2nd Ave, New York, NY 10065, USA"
"2273","1221 3 AVENUE 10021","TASTI D-LITE",40.7686457,40.7686457,"street_address","1221 3rd Ave, New York, NY 10021, USA"
"2274","1221 6 AVENUE 10020","CHIPOTLE MEXICAN GRILL",41.7467777,41.7467777,"premise","Main Hall, 1221 6th Ave, Grinnell, IA 50112, USA"
"2275","1221 6TH AVE 10020","ALLEN & OVERY",40.7594099,40.7594099,"street_address","1221 6th Ave, New York, NY 10020, USA"
"2276","1221 AVE OF TH AMER 10020","FLIK INTERNATIONAL",40.7600733,40.7600733,"premise","1251 Avenue of the Americas, 1251 6th Ave, New York, NY 10020, USA"
"2277","1221 AVENUE OF THE AMERICAS 10020","FORTY EIGHT LOUNGE",40.7594099,40.7594099,"street_address","1221 6th Ave, New York, NY 10020, USA"
"2278","1221 BOWERY ST 11224","K & E FAST FOOD",40.5747569,40.5747569,"street_address","1221 Bowery St, Brooklyn, NY 11224, USA"
