"","ADDRESSS","name","lat","long","accuracy","formatted_address"
"43","241 BAY RIDGE AVE 11220","DELICIAS TAJADAS BAKERY & RESTAURANT",40.6363881,-74.0271058,"premise","241 Bay Ridge Ave, Brooklyn, NY 11220, USA"
"44","241 BEACH 116 STREET 11694","PANINICO CAFE INC",40.5804826,-73.8379319,"street_address","241 Beach 116th St, Rockaway Park, NY 11694, USA"
"45","241 BOWERY 10002","LA GAMELLE",40.722486,-73.9928142,"premise","241 Bowery, New York, NY 10002, USA"
"46","241 BUSHWICK AVENUE 11206","DANNY'S PIZZERIA & CAFE",40.7078664,-73.9396766,"premise","241 Bushwick Ave, Brooklyn, NY 11206, USA"
"47","241 CANAL STREET 10013","STARBUCKS",40.718362,-73.9999275,"street_address","241 Canal St, New York, NY 10013, USA"
"48","241 COOK ST 11206","TAQUERIA EL FOGON 2",40.7036505,-73.9330426,"premise","241 Cook St, Brooklyn, NY 11206, USA"
"49","241 E 10TH ST 10003","SNOWDAYS SHAVERY",40.7290371,-73.9847335,"street_address","241 E 10th St, New York, NY 10003, USA"
"50","241 E 24TH ST 10010","NEW YORK COMEDY CLUB",40.7389512,-73.9807881,"premise","241 E 24th St, New York, NY 10010, USA"
"51","241 MULBERRY ST 10012","LIGHTHOUSE OUTPOST",40.7228844,-73.9961449,"premise","241 Mulberry St, New York, NY 10012, USA"
"52","241 ROCKAWAY PARKWAY 11212","DUNKIN' DONUTS, BASKIN ROBBINS",40.6615102,-73.9200573,"street_address","241 Rockaway Pkwy, Brooklyn, NY 11212, USA"
"53","241 ROGERS AVE 11225","MARKER COFFEE",40.668076,-73.9532436,"premise","241 Rogers Ave, Brooklyn, NY 11225, USA"
"54","241 SHERMAN AVENUE 10034","BIZCOCHO DE COLORES",40.8658296,-73.9191441,"premise","241 Sherman Ave, New York, NY 10034, USA"
"55","241 SMITH STREET 11231","JOLIE CANTINA",40.6835698,-73.9923739,"premise","241 Smith St, Brooklyn, NY 11231, USA"
"56","241 SOUTH    4 STREET 11211","XIXA",40.7104476,-73.9585061,"street_address","241 S 4th St, Brooklyn, NY 11211, USA"
"57","241 SULLIVAN STREET 10012","SHADE",40.7298997,-73.9993408,"street_address","241 Sullivan St, New York, NY 10012, USA"
"58","241 W 54TH ST 10019","CREATIVE CATERERS",40.7644994,-73.9832109,"street_address","241 W 54th St, New York, NY 10019, USA"
