"ADDRESSS" "name"
"92" "399 5 AVENUE 11215" "FOOD LIN"
"93" "399 7TH AVE 10001" "STARBUCKS #23044"
"94" "399 GRAND ST 10002" "SALUGGI'S"
"95" "399 GREENWICH ST 10013" "GREENWICH STREET TAVERN"
"96" "399 LAFAYETTE STREET 10003" "ASTOR CENTER"
"97" "399 MOTHER GASTON BLVD 11212" "CROWN FRIED CHICKEN"
"98" "399 PARK AVENUE 10022" "DISHES"
"99" "399 WEST BROADWAY 10012" "GROUND SUPPORT CAFE"
"100" "3995 AMBOY ROAD 10308" "VILLAGE MARIA"
"101" "4 - JFK AIRPORT 11430" "AIR INDIA LOUNGE"
"102" "4 ALLEN ST 10002" "HAPPY EXPRESS CAFE"
"103" "4 BEDFORD PARK BOULEVARD 10468" "CHOI YUAN"
"104" "4 CLINTON STREET 10002" "CLINTON STREET BAKING COMPANY"
"105" "4 COLEMAN SQ 11414" "NEIGHBORHOOD PIZZA"
"106" "4 COLUMBUS CIRCLE 10019" "STARBUCKS"
"107" "4 CORTLANDT ST 10007" "HIBACHI EXPRESS"
"108" "4 E 46TH ST 10017" "VITAE"
"109" "4 E 90TH ST 10128" ""
"110" "4 E FORDHAM RD 10468" "DUNKIN' DONUTS"
"111" "4 EAST    3 STREET 10003" "GEMMA"
"112" "4 EAST   36 STREET 10016" "ARABESQUE"
"113" "4 EAST   60 STREET 10022" "HARMONIE CLUB"
"114" "4 IRVING PLACE 10003" "CON EDISON CAFETERIA"
"115" "4 JFK INTERNATIONAL AIRPORT 11430" "SWISS INTERNATIONAL AIRLINES LOUNGE"
"116" "4 JKF INTL AIRPORT 11430" "DELTA SKY CLUB"
"117" "4 LAGUARDIA AIRPORT 11369" "CIBO EXPRESS GOURMET MARKET"
"118" "4 METRO TECH CENTER 11201" "SUBWAY"
"119" "4 NEPTUNE AVENUE 11235" "LOTUS CAFE & BAGELS"
"120" "4 NEW YORK PLZ 10004" "JPMC"
"121" "4 NEWKIRK PLAZA 11226" "FISHERMAN'S COVE"
"122" "4 PARK AVENUE 10016" "WOLFGANG'S STEAK HOUSE"
"123" "4 PENN PLAZA 10121" "Garden Market 36/37"
"124" "4 PENN PLZ 10121" "MADISON CLUB"
"125" "4 SOUTH ST 10004" "AUNTIE ANNE'S"
"126" "4 SOUTH STREET 10004" "PIZZA PLUS (SI FERRY TERMINAL)"
"127" "4 STUYVESANT AVENUE 11221" "Norbert's Pizza"
"128" "4 TIMES SQUARE 10036" "SKADDEN ARPS, SLATE"
"129" "4 W 14TH ST 10011" "CAFFE BENE"
"130" "4 W 22ND ST 10010" "SAGAPONACK"
"131" "4 W 28TH ST 10001" "ULIVO"
"132" "4 WATER STREET 11201" "IGNAZIO'S"
"133" "4 WEST   21 STREET 10010" "STARBUCKS"
"134" "4 WEST   40 STREET 10018" "PANERA BREAD"
"135" "4 WEST   58 STREET 10019" "PARIS THEATRE"
"136" "4 WEST MOUNT EDEN AVENUE 10452" "LITTLE CAESARS"
"137" "4 WORLD FINANCIAL CENTER 10281" "P.J. CLARKE'S ON THE HUDSON"
"138" "4 WORLD FINANCIAL CTR 10281" "AMADA"
"139" "4-09 47 ROAD 11101" "COFFEED"
"140" "4-10 EAST  208 STREET 10467" "EL PRESIDENTE # 2 RESTAURANT"
"141" "4-40 44 DRIVE 11101" "ANABLE BASIN SAILING"
"142" "4-6 BERRY STREET 11249" "BERRY PARK"
"143" "40 AVENUE B 10009" "FONDA"
"144" "40 AVENUE C 10009" "BEDLAM"
"145" "40 BOWERY 10013" "KEN'S ASIAN TASTE"
"146" "40 BROAD ST 10004" "CRUMBS BAKE SHOP"
"147" "40 CENTRAL PARK S 10019" "Villagio on the Park"
"148" "40 CENTRAL PARK SOUTH 10019" "SARABETH'S"
"149" "40 E 167TH ST 10452" "LA NUEVA WIN HING RESTAURANT"
"150" "40 E 20TH ST 10003" "TAMU LOLA"
"151" "40 E 33RD ST 10016" "SPOON TABLE & BAR"
"152" "40 EAST    4 STREET 10003" "B BAR AND GRILL"
"153" "40 EAST   23 STREET 10010" "HALE & HEARTY SOUPS"
"154" "40 EAST   52 STREET 10022" "FRESCO ON THE GO"
"155" "40 EMPIRE BOULEVARD 11225" "DUNKIN' DONUTS"
"156" "40 EXCHANGE PLACE 10005" "IRISH PUNT"
"157" "40 GOLD ST 10038" "BOCADILLO"
"158" "40 GRAND ST 10013" "LITTLE LIONS"
"159" "40 HOYT ST 11201" "KUNG FU TEA"
"160" "40 LINCOLN CENTER PLZ 10023" "AMY'S BREAD CAFE"
"161" "40 MAIN STREET 11201" "MISO JAPANESE FUSION"
"162" "40 MARCY AVENUE 11211" "EDDIE JR'S SPORT LOUNGE"
"163" "40 MARKET ST 10002" "MR. FONG'S"
"164" "40 MULBERRY STREET 10013" "ASIA ROMA"
"165" "40 RIVINGTON STREET 10002" "GENTLEMAN FARMER"
"166" "40 ST NICHOLAS AVENUE 11237" "PEARL'S SOCIAL & BILLY CLUB"
"167" "40 UNION SQUARE EAST 10003" "DUNKIN' DONUTS"
"168" "40 W 38TH ST 10018" "COCINA DEL SUR"
"169" "40 W 42ND ST 10036" "ICE BITES - WINTER VILLAGE"
"170" "40 W 45TH STREET 10036" "RESTAURANT PATRICK"
"171" "40 W 53RD ST 10019" "FOGO DE CHAO"
"172" "40 W 56TH ST 10019" "HUNAN HOUSE"
"173" "40 WALL ST 10005" "NEAPOLITAN EXPRESS"
"174" "40 WASHINGTON SQUARE SOUTH 10012" "Golding Cafe (NEW YORK UNIVERSITY LAW SCHOOL - VANDERBILT HALL)"
"175" "40 WATER ST 10004" "PIANETA ROMAGNA"
"176" "40 WEST    8 STREET 10011" "CURRY KITCHEN"
"177" "40 WEST   40 STREET 10018" "CELLAR BAR - THE BRYANT PARK HOTEL"
"178" "40 WEST   42 STREET 10036" "CELSIUS"
"179" "40 WEST   55 STREET 10019" "DIG INN SEASONAL MARKET"
"180" "40 WEST   57 STREET 10019" "NOBU FIFTY SEVEN"
"181" "40 WEST DRIVE 11215" "TIP OF THE TONGUE PROSPECT PARK"
"182" "40-07 149 PLACE 11354" "KEUM SUNG FOOD"
"183" "40-19 BELL BOULEVARD 11426" "PYRAMIDS HOOKAH AND BAR"
"184" "40-24 COLLEGE POINT BLVD 11354" "LITTLE LAMB"
"185" "40-45 235TH STREET 11363" "WINE TIME"
"186" "400 5 AVENUE 10018" "AI FIORI"
"187" "400 5TH AVE 10018" "MEASURE LOUNGE"
"188" "400 CLAREMONT PARKWAY 10457" "GRAVITY LOUNGE"
"189" "400 E 167TH ST 10456" "EL MOLINA RESTAURANT"
"190" "400 E 180TH ST 10457" "718 LOUNGE & TAPAS"
"191" "400 E 198TH ST 10458" "LA ROLA RESTAURANT"
"192" "400 E 82ND ST 10028" "CANELE BY CELINE"
"193" "400 EAST   74 STREET 10021" "CREATIVE CAKES"
"194" "400 EAST   90 STREET 10128" "STARBUCKS COFFEE"
"195" "400 EAST 23RD STREET 10010" "STARBUCKS"
"196" "400 EAST TREMONT AVENUE 10457" "BURGER KING"
"197" "400 FOREST AVENUE 10301" "BETTER GOURMET HEALTH KITCHEN"
"198" "400 JAY ST 11201" "BUFFALO BOSS"
"199" "400 LAFAYETTE STREET 10003" "LA COLOLMBE"
"200" "400 MYRTLE AVE 11205" "SUBWAY"
"201" "400 PARK AVE S 10016" "PRET A MANGER"
"202" "400 PARK AVENUE 10022" "PRET A MANGER"
"203" "400 WEST   14 STREET 10014" "GASLIGHT"
"204" "400 WEST   23 STREET 10011" "THE RAIL LINE DINER"
"205" "4000 HYLAN BOULEVARD 10308" "DUNKIN' DONUTS"
"206" "4000 WHITE PLAINS ROAD 10466" "KINGSTON TROPICAL BAKERY"
"207" "4001 13TH AVE 11218" "TABLE 40 PIZZERIA AND CAFE"
"208" "4001 149TH PL 11354" "Black Hole Cafe"
"209" "4001 8TH AVE 11232" "HEALTHY KITCHEN CAFE"
"210" "4001 BROADWAY 10032" "STARBUCKS"
"211" "4001 NORTHERN BOULEVARD 11101" "TEQUILA SUNRISE"
"212" "4001 QUEENS BLVD 11104" "SOLELUNA"
"213" "4001 QUEENS BOULEVARD 11104" "SUNNYSIDE PIZZA"
"214" "40012 WEST   54 STREET 10019" "DISIAC LOUNGE"
"215" "4002 3RD AVE 11232" "GRAN VILLA RESTAURANT"
"216" "4002 BELL BLVD 11361" "SANGARITA'S"
"217" "4002 BOWNE ST 11354" "XUEYUAN FOOD"
"218" "4002 BRONXWOOD AVE 10466" "FRONT PAGE RESTAURANT"
"219" "4002 QUEENS BLVD 11104" "OASIS RESTAURANT"
"220" "4003 5TH AVE 11232" "MIS ANGELITOS BAKERY"
"221" "4003 BROADWAY 10032" "MIKE'S BAGELS"
"222" "4004 69 STREET 11377" "PASIONES SPORTS-BAR"
"223" "4004 BELL BLVD 11361" "SABOR GUARANI"
"224" "4004 UNION STREET 11354" "FRIED DUMPLING JIE JIE SHENG"
"225" "4004A BOSTON ROAD 10475" "BEST CHINESE RESTAURANT"
"226" "4005 13TH AVE 11218" "MORRITO'S CAFE"
"227" "4005 BELL BOULEVARD 11361" "SAFARI BEACH CLUB"
"228" "4005 BROADWAY 11103" "NEW YORK CITY BAGELS AND COFFEE HOUSE"
"229" "4005 EAST TREMONT AVENUE 10465" "SPOTO'S RESTAURANT"
"230" "4005A JUNCTION BLVD 11368" "TASTE OF ITALY"
"231" "4006 13 AVENUE 11218" "GINO'S PIZZA"
"232" "4006 70 STREET 11377" "IHAWAN"
"233" "4006 74 STREET 11373" "CHUNG KI WA RESTAURANT"
"234" "4006 83RD ST 11373" "LA CALENITA BAKERY"
"235" "4006 CASE STREET 11373" "BIENESTAR Y SALUD/ HERBALIFE"
"236" "4006 EAST TREMONT AVENUE 10465" "XING HUI LINDA KITCHEN"
"237" "4006 MAIN STREET 11354" "POPEYES LOUISIANA KITCHEN"
"238" "4006 QUEENS BOULEVARD 11104" "NATURAL TOFU & NOODLES RESTAURANT (BOOK CHANG DONG)"
"239" "4006 UNION ST 11354" "GONG CHA"
"240" "4007 111 STREET 11368" "TASTE OF DOLLY'S PIZZERIA & RESTAURANT"
"241" "4007 150 STREET 11354" "GANGNAM STYLE"
"242" "4007 9 AVENUE 11232" "FEI TENG BAKERY"
"243" "4007 BROADWAY 10032" "SBARRO LLC"
"244" "4007 JUNCTION BOULEVARD 11368" "MAMA LETI'S"
"245" "4007 NATIONAL STREET 11368" "LA ANTIOQUENA BAKERY II"
"246" "4008 74 STREET 11373" "CAJA MUSICAL"
"247" "4008 BELL BOULEVARD 11361" "DUNKIN' DONUTS, BASKIN ROBBINS"
"248" "4008 HAMPTON ST 11373" "UPAYA'S RESTAURANT"
"249" "4008 JUNCTION BOULEVARD 11368" "CAFE 2000 CORONA"
"250" "4008 UNION ST 11354" "T-SWIRL CREPE"
"251" "4009 149TH PL 11354" ""
"252" "4009 30TH AVE 11103" "QUEENS COMFORT RESTAURANT"
"253" "4009 5TH AVE 11232" "CHINA DELIGHT"
"254" "4009 69TH ST 11377" "SARILING ATIN GRILL AND PASTRY SHOP"
"255" "4009 BELL BLVD 11361" "SOL BAR & GRILL"
"256" "4009 BROADWAY 10032" "CHIPOTLE MEXICAN GRILL"
"257" "4009 JUNCTION BLVD 11368" "EL RINCON CRIOLLO"
"258" "4009 PRINCE ST 11354" "PRINCE NOODLE AND CAFE"
"259" "401 6TH AVE 10014" "HOA NOODLE AND TEA"
"260" "401 7 AVENUE 10001" "LITTLE ITALY PIZZA"
"261" "401 7TH AVE 10001" "CHARLEY'S GRILLED SUBS"
"262" "401 AVENUE P 11223" "El MESQUIETE"
"263" "401 BLEECKER STREET 10014" "MAGNOLIA BAKERY"
"264" "401 E 13TH ST 10009" "ICHIBANTEI"
"265" "401 E 57TH ST 10022" "BELLA ROMA PIZZA"
"266" "401 E 68TH ST 10065" "SOPHIES CUBAN CUISINE"
"267" "401 EAST   20 STREET 10010" "PETITE ABEILLE"
"268" "401 EAST   34 STREET 10016" "IMPRESS DELI"
"269" "401 EAST   62 STREET 10065" "ANATOLIA MEDITERRANEAN CUISINE"
"270" "401 EAST   73 STREET 10021" "SUSHI SASABUNE NEW YORK"
"271" "401 EAST   76 STREET 10021" "JONES WOOD FOUNDRY"
"272" "401 EAST 58 STREET 10022" "AMAZE"
"273" "401 FOREST AVENUE 10301" "CAFE MILANO"
"274" "401 GREENWICH STREET 10013" "KAFFE 1668"
"275" "401 MOTHER GASTON BLVD 11212" "401 LUCKY STAR RESTAURANT"
"276" "401 PARK AVENUE SOUTH 10016" "MCDONALD'S"
"277" "401 W 25TH ST 10001" "PUSHCART COFFEE"
"278" "401 W 53RD ST 10019" "Co Ba 53"
"279" "401 WEST   24 STREET 10011" "EL QUINTO PINO"
"280" "401 WEST   47 STREET 10036" "BARRAGE"
"281" "401 WEST   48 STREET 10036" "THE GAF"
"282" "401 WEST   50 STREET 10019" "HIBERNIA"
"283" "401 WEST   52 STREET 10019" "CASELLULA CHEESE & WINE CAFE"
"284" "4010 74 STREET 11373" "THAI SON"
"285" "4010 82ND ST 11373" "POPEYES LOUISIANA KITCHEN"
"286" "4010 GREENPOINT AVENUE 11104" "NITA'S EUROPEAN BAKERY"
"287" "4010 JUNCTION BLVD 11368" "HOMEMADE TAQUERIA"
"288" "4010 MAIN STREET 11354" "CHATIME"
"289" "4010 UNION ST 11354" "HAO SHI LAI"
"290" "4011 13TH AVE 11218" "STEAK & SIZZLE"
"291" "4011 149TH PL 11354" "HAHM JI BACH"
"292" "4011 150 STREET 11354" "JEUN JU KOREAN RESTAURANT"
"293" "4011 30TH AVE 11103" "PASSAGE"
"294" "4011 BELL BOULEVARD 11361" "PRESS 195"
"295" "4011 E TREMONT AVE 10465" "THROG'S NECK FRIED CHICKEN"
"296" "4012 104 STREET 11368" "CORONA GYRO"
"297" "4012 13 AVENUE 11218" "ANGELA RESTAURANT OF NY"
"298" "4012 82 STREET 11373" "M2N BUFFET"
"299" "4012 83RD ST 11373" "JUQUILA MEXICAN CUISINE"
"300" "4012 BELL BOULEVARD 11361" "BOURBON STREET"
"301" "4012 BOSTON ROAD 10475" "MINGLES"
"302" "4012 GREENPOINT AVENUE 11104" "PAPA JOHN'S"
"303" "4012 NATIONAL ST 11368" "MCDONALD'S"
"304" "4012 QUEENS BOULEVARD 11104" "LA HOGUERA PIASA RESTAURANT & BAKERY"
"305" "4013 30 AVENUE 11103" "GAUDIO'S PIZZERIA"
"306" "4013 35TH AVE 11101" "CAFE CHIYA"
"307" "4015 5 AVENUE 11232" "EL TESORO ECUATORIANO RESTAURANT"
"308" "4015 BELL BLVD 11361" "KRAVE IT"
"309" "4015 BROADWAY 10032" "COOGAN'S"
"310" "4015 JUNCTION BLVD 11368" "LA POLLERA COLORADA 3"
"311" "4015 QUEENS BLVD 11104" "BURGER KING"
"312" "4015 QUEENS BOULEVARD 11104" "ARRIBA ARRIBA"
"313" "4017 30TH AVE 11103" "WARIQUE RESTAURANT"
"314" "4017 5 AVENUE 11232" "USULUTECO RESTAURANT"
"315" "4017 7TH AVE 11232" "SUN HOUSE CAFE"
"316" "4017 AVENUE U 11234" "NEW BAMBOO HOUSE"
"317" "4017 BELL BOULEVARD 11361" "MICKEY'S PLACE"
"318" "4017 BROADWAY 11103" "SUBWAY"
"319" "4018 82ND ST 11373" "TACOS COATZINGO"
"320" "4018 BELL BOULEVARD 11361" "TOP HOT BAGELS & GRILL"
"321" "4018 BOSTON ROAD 10475" "PIMENTO CARRIBEAN RESTAURANT"
"322" "4018 GLENWOOD ROAD 11210" "LELLO'S PIZZA"
"323" "4018 HYLAN BLVD 10308" "SALVATORE OF SOHO"
"324" "4018 MAIN STREET 11354" "MCDONALD'S"
"325" "4018 QUEENS BOULEVARD 11104" "THE COURTYARD ALE HOUSE"
"326" "4019 BROADWAY 11103" "POLLOS A LA BARASA MARIO"
