"ADDRESSS" "name"
"1226" "435 HALSEY STREET 11233" "SARAGHINA"
"1227" "435 HUDSON STREET 10014" "EN JAPANESE BRASSERIE"
"1228" "435 MENAHAN ST 11237" "PALOMAS"
"1229" "435 PARK AVENUE SOUTH 10016" "Noodle Den"
"1230" "435 W 23RD ST 10011" "JOE COFFEE SHOP"
"1231" "435 WEST  116 STREET 10027" "LENFEST CAFE - JEROME GREEN HALL"
"1232" "4350 AMBOY ROAD 10312" "KINGDOM CAFE & RISTORANTE"
"1233" "4352 KATONAH AVE 10470" "THE AVENUE"
"1234" "4353 BROADWAY 10033" "DUNKIN' DONUTS"
"1235" "4356 WHITE PLAINS RD 10466" "EXCELLENT TASTE RESTAURANT"
"1236" "4357 11 STREET 11101" "AUNT ROSIE'S COFFEE SHOP & DINER"
"1237" "4357 AMBOY ROAD 10312" "COUNTRY DONUTS"
"1238" "4358 162ND ST 11358" "JAVA DAY"
"1239" "4358 KATONAH AVE 10470" "PATRIZIA'S OF WOODLAWN"
"1240" "4358 VICTORY BOULEVARD 10314" "DA NOI RESTAURANT"
"1241" "436 EAST   72 STREET 10021" "LA CROSTA RESTAURANT"
"1242" "436 JEFFERSON ST 11237" "FARO"
"1243" "436 W 238TH ST 10463" "FUSION JUICE BAR & GRILL"
"1244" "4360 WHITE PLAINS ROAD 10466" "RINCON LATINO RESTAURANT"
"1245" "4365 KISSENA BOULEVARD 11355" "MUGI BAKERY"
"1246" "4366 AMBOY ROAD 10312" "ALFONSO'S PASTRY SHOPPE"
"1247" "4367 WEBSTER AVE 10470" "TEGO RESTAURANT"
"1248" "4369 AMBOY ROAD 10312" "FRANK & DANNY'S PIZZERIA"
"1249" "4369 KISSENA BOULEVARD 11355" "SINGAS FAMOUS PIZZA"
"1250" "437 3 AVENUE 10016" "NOBI SUSHI"
"1251" "437 3 AVENUE 11215" "MICHAEL & PING'S MODERN CHINESE TAKE-OUT"
"1252" "437 5 AVENUE 11215" "SAI THAI KITCHEN"
"1253" "437 GRAHAM AVENUE 11211" "DADDY'S"
"1254" "437 MADISON AVENUE 10022" "BERKELEY"
"1255" "437 PARK AVENUE SOUTH 10016" "SUBWAY"
"1256" "4370 AMBOY ROAD 10312" "PERKINS RESTAURANT & BAKERY"
"1257" "4371 3 AVENUE 10457" "EL DIAMANTE RESTAURANT"
"1258" "4371 AMBOY ROAD 10312" "EAST SUSHI"
"1259" "4373 AMBOY ROAD 10312" "EMPIRE SZECHUAN VILLAGE"
"1260" "4374 WHITE PLAINS ROAD 10466" "PAULS BAKERY"
"1261" "4375A WHITE PLAINS RD 10466" "SUBWAY"
"1262" "4379 WHITE PLAINS RD 10466" "KAIETEUR RESTAURANT"
"1263" "438 2ND AVE 10010" "THE ROYAL MUNKEY"
"1264" "438 BEACH  129 STREET 11694" "BEACH BAGEL"
"1265" "438 EAST    9 STREET 10009" "TACOS MORELOS"
"1266" "438 HUDSON ST 10014" "HENRIETTA HUDSON"
"1267" "438 MYRTLE AVENUE 11205" "MYRTLE THAI RESTAURANT"
"1268" "438 NOME AVENUE 10314" "HOLY SCHNITZEL"
"1269" "438 UTICA AVE 11213" "FEAST CORNER"
"1270" "438 W 238TH ST 10463" "YOKOHAMA JAPANESE RESTAURANT"
"1271" "4382 VERNON BOULEVARD 11101" "CON EDISON/ THE LEARNING CENTER"
"1272" "4382 WHITE PLAINS ROAD 10466" "CHINA PEKING HOUSE"
"1273" "4384 BROADWAY 10040" "LA CABANA SALVADORENA RESTAURANT"
"1274" "43874399 WHITE PLAINS ROAD 10466" "DUNKIN' DONUTS"
"1275" "439 3 AVENUE 11215" "FOUR & TWENTY BLACKBIRDS"
"1276" "439 3RD AVE 10016" "BROKEN SPOKE ROTISSERIE"
"1277" "439 CRESCENT ST 11208" "DUNKIN' DONUTS"
"1278" "439 MARCUS GARVEY BLVD 11216" "WING IT"
"1279" "4392 VICTORY BLVD 10314" "MANDARINO PIZZA & GRILL"
"1280" "44 9 AVENUE 10011" "THE DINER"
"1281" "44 BEDFORD STREET 10014" "DADDY-O"
"1282" "44 BERRY STREET 11249" "THE WHISKEY BROOKLYN"
"1283" "44 CANAL ST 10002" "YAN KEE BEEF JERKY"
"1284" "44 CHARLES ST 10014" "TOBY'S ESTATE COFFEE ROASTER"
"1285" "44 E 28TH ST 10016" "TARALLUCCI E VINO"
"1286" "44 E 32ND ST 10016" "MIKE'S DELI"
"1287" "44 EAST   32 STREET 10016" "THE CUTTING ROOM"
"1288" "44 EAST   59 STREET 10022" "MACARON CAFE"
"1289" "44 EAST   92 STREET 10128" "TABLE D'HOTE"
"1290" "44 GRAND CENTRAL TERMINAL 10017" "JOE: THE ART OF COFFEE"
"1291" "44 HENRY STREET 11201" "HENRY'S END"
"1292" "44 IRVING AVENUE 11237" "GUACUCO"
"1293" "44 LITTLE WEST   12 STREET 10014" "HECTOR'S CAFE & DINER"
"1294" "44 RICHMOND TERRACE 10301" "RUDDY AND DEAN"
"1295" "44 TRINITY PL 10006" "WOGIES BAR & GRILL"
"1296" "44 W 63RD ST 10023" "EMPIRE HOTEL BAR"
"1297" "44 W KINGSBRIDGE RD 10468" "MIRADOR RESTAURANT"
"1298" "44 WATER STREET 10004" "DA VINCI PIZZA"
"1299" "44 WEST   17 STREET 10011" "PETITE ABEILLE"
"1300" "44 WEST   44 STREET 10036" "ROYALTON HOTEL"
"1301" "44 WEST   56 STREET 10019" "UNCLE JACK'S STEAKHOUSE"
"1302" "44 WEST   63 STREET 10023" "P.J. CLARKE'S"
"1303" "44 WESTCHESTER SQ 10462" "CESTRAS PIZZA III"
"1304" "44 WILLOUGHBY ST 11201" "HAWA"
"1305" "44 WILSON AVE 11237" "GOLD SOUNDS"
"1306" "44-01 30TH AVE 11103" "LA LUNA CAFE"
"1307" "44-07 QUEENS BLVD 11104" "VENTURO OSTERIA &WINE BAR"
"1308" "440 5 AVENUE 11215" "SMITH TAVERN"
"1309" "440 7 AVENUE 11215" "TEN JAPANESE CUISINE"
"1310" "440 9 AVENUE 10001" "UNCLE JACK'S STEAKHOUSE"
"1311" "440 AMSTERDAM AVE 10024" "ORWASHERS"
"1312" "440 BERGEN ST 11217" "WASAN BROOKLYN"
"1313" "440 E 14TH ST 10009" "DOMINO'S"
"1314" "440 E 29TH ST 10016" "LITTLE RIVER"
"1315" "440 E FORDHAM RD 10458" "SUBWAY"
"1316" "440 PARK AVENUE SOUTH 10016" "CALIFORNIA PIZZA KITCHEN"
"1317" "440 W 202ND AVE 10034" "THE CLIFF"
"1318" "440 WEST   57 STREET 10019" "GOTHAM CAFE (INSIDE HOLIDAY INN)"
"1319" "4400 WHITE PLAINS RD 10470" "KENNEDY FRIED CHICKEN & PIZZA"
"1320" "4401 30 AVENUE 11103" "NEW CHINA HOUSE"
"1321" "4401 30TH AVE 11103" "DEMO ONE"
"1322" "4401 8 AVENUE 11220" "JIA XIANG BAKERY"
"1323" "4401 BROADWAY 11103" "CHIAN FEDERATION"
"1324" "4401 QUEENS BOULEVARD 11104" "YOGURTBERRY"
"1325" "4402 23 STREET 11101" "CAFFEINA ESPRESSO BAR"
"1326" "4402 31 AVENUE 11103" "31ST AVENUE GYRO."
"1327" "4403 30 AVENUE 11103" "MARKIS PLACE"
"1328" "4403 KISSENA BLVD 11355" "MIXX"
"1329" "4403 KISSENA BOULEVARD 11355" "MIXX CANTINA"
"1330" "4404 21ST ST 11101" "LIC HOTEL INC"
"1331" "4404 BROADWAY 11103" "SAFFRON"
"1332" "4405 KISSENA BOULEVARD 11355" "DUNKIN' DONUTS"
"1333" "4406 60 STREET 11377" "WOODSIDE PIZZA"
"1334" "4406 WHITE PLAINS ROAD 10470" "BIG DADDY CARIBBEAN TASTE"
"1335" "4408 3RD AVE 11220" "NUEVO CAFE LATINO"
"1336" "4408 5 AVENUE 11220" "INTERNATIONAL RESTAURANT"
"1337" "4408 60TH ST. - STORE 11377" "CHARLIES SPORTS BAR"
"1338" "4408 BROADWAY 11103" "LOS MANJARES RESTAURANT"
"1339" "4408 GREENPOINT AVE 11104" "LENNY'S PIZZA"
"1340" "4409 18 AVENUE 11204" "U & I RESTAURANT"
"1341" "4409 BROADWAY 11103" "LAYALY CAFE"
"1342" "4409 KISSENA BOULEVARD 11355" "LAO DONG BEI RESTAURANT"
"1343" "441 3RD AVE 10016" "PITA GRILL"
"1344" "441 7 AVENUE 11215" "THISTLEHILL TAVERN"
"1345" "441 AMSTERDAM AVENUE 10024" "ST JAMES GATE"
"1346" "441 E FORDHAM RD 10458" "STG IN KEATING HALL"
"1347" "441 EAST    6 STREET 10009" "CHERRY TAVERN"
"1348" "441 EAST   12 STREET 10009" "OST CAFE"
"1349" "441 EAST FORDHAM ROAD 10458" "FORDHAM UNIVERSITY/MCGINLEY CENTER/RAMSKELLER KITCHEN"
"1350" "441 METROPOLITAN AVE 11211" "FROMAGE GARAGE"
"1351" "441 MYRTLE AVE 11205" "SPICE & GRILL"
"1352" "441 PARK AVENUE SOUTH 10016" "SPREADS"
"1353" "4410 AVENUE H 11234" "AURA BAR & LOUNGE"
"1354" "4410 FT HAMILTON PARKWAY 11219" "BEST COFFEE SHOP"
"1355" "4411 QUEENS BLVD 11104" "MR. WONTON"
"1356" "4412 4 AVENUE 11220" "ISABELA'S MEXICAN CUISINE"
"1357" "4412 FORT HAMILTON PKWY 11219" "AJ PIZZERIA"
"1358" "4413 13 AVENUE 11219" "CHINA GLATT"
"1359" "4413 4TH AVENUE 11220" "CANDELAS RESTAURANT"
"1360" "4413 KISSENA BLVD 11355" "RED MOUNTAIN NOODLE HOUSE"
"1361" "4413 NEW UTRECHT AVE 11219" "GOLDEN DRAGON RESTAURANT"
"1362" "4414 8TH AVE 11220" "HUNTER BAR  888"
"1363" "4414 KISSENA BLVD 11355" "NEW TASTY HOUSE"
"1364" "4415 4TH AVE 11220" "FAMOUS GRILL 4 AVE"
"1365" "4415 8 AVENUE 11220" "MEI HAO RESTAURANT"
"1366" "4415 COLLEGE POINT BOULEVARD 11355" "KANES DELI DINER"
"1367" "4416 QUEENS BOULEVARD 11104" "WENDY'S"
"1368" "4417 30 AVENUE 11103" "GIAN PIERO BAKERY"
"1369" "4417 BROADWAY 10040" "RIOSSI PIZZA"
"1370" "4417 DOUGLASTON PARKWAY 11363" "IL SAPORE ITALIANO PIZZERIA"
"1371" "4417 NEW UTRECHT AVE 11219" "SOL DE QUITO RESTAURANT II"
"1372" "4418 8 AVENUE 11220" "18 CHINESE CUISINE"
"1373" "4418 KISSENA BLVD 11355" "XIN SHUN DA RESTAURANT"
"1374" "4419 BROADWAY 10040" ""
"1375" "4419 BROADWAY 11103" "SIPS & BITES"
"1376" "4419 NEW UTRECHT AVE 11219" "NEW UTRECHT RESTAURANT"
"1377" "442 3RD AVE 10016" "RUBY'S CAFE"
"1378" "442 AMSTERDAM AVENUE 10024" "THE GIN MILL"
"1379" "442 COURT STREET 11231" "ABILENE"
"1380" "442 EAST   14 STREET 10009" "COFFEE SHOP DINER"
"1381" "442 GRAHAM AVENUE 11211" "LA PIAZZETTA"
"1382" "442 LORIMER STREET 11206" "WARMA CAFE"
"1383" "442 W 45TH ST 10036" "SUBWAY"
"1384" "4420 3RD AVE 11220" "C. XIQUE CAFE"
"1385" "4420 48TH AVE 11377" "NEW ASIAN CUISINE"
"1386" "4420 GREENPOINT AVE 11104" "PECAS Y ALGO MAS"
"1387" "4421 BROADWAY 10040" "CHAN'S KITCHEN"
"1388" "4423 DOUGLASTON PARKWAY 11363" "DOUGLASTON DELICATESSEN"
"1389" "4423 QUEENS BOULEVARD 11104" "MC GUINNESS'S"
"1390" "4424 16TH AVE 11204" "CAFE PARIS"
"1391" "4425 5 AVENUE 11220" "NEW GREAT WALL RESTAURANT"
"1392" "4425 DOUGLASTON PKWY 11363" "PARKWAY DINER"
"1393" "4425 KISSENA BOULEVARD 11355" "DARO'S PIZZA"
"1394" "4427 KISSENA BOULEVARD 11355" "BIRYANI AND CHAT"
"1395" "4429 9TH ST 11101" "FUSHIA RESTAURANT & BAR"
"1396" "4429 KISSENA BLVD 11355" "NEW KISSENA CHINESE FOOD"
"1397" "4429B KISSENA BOULEVARD 11355" "POP'S COFFEE DINER"
"1398" "443 7 AVENUE 11215" "STOOP JUICE"
"1399" "443 BUSHWICK AVE 11206" "ALL ABOUT INDIAN FOOD"
"1400" "443 E 6TH ST 10009" "BANH MI ZON"
"1401" "443 KNICKERBOCKER AVENUE 11237" "TONY'S PIZZA"
"1402" "4435 DOUGLASTON PKWY 11363" "BEST GARDEN CHINESE RESTAURANT"
"1403" "4435 KISSENA BOULEVARD 11355" "LUCKY BAKERY"
"1404" "4437 DOUGLASTON PARKWAY 11363" "GIARDINO RISTORANTE"
"1405" "4437 VERNON BOULEVARD 11101" "SMALL KITCHEN"
"1406" "444 3RD AVE 10016" "HUMMUS KITCHEN"
"1407" "444 7TH AVE 11215" "AMERICAN CHEEZ"
"1408" "444 9TH ST 11215" "STARBUCKS COFFEE #29850"
"1409" "444 COLUMBUS AVENUE 10024" "STARBUCKS"
"1410" "444 E FORDHAM RD 10458" "PIZZA STUDIO"
"1411" "444 EAST  149 STREET 10455" "MEXICOZINA"
"1412" "444 KNICKERBOCKER AVE 11237" "FRUTTI YUMMI"
"1413" "444 LENOX AVENUE 10037" "MCDONALD'S"
"1414" "444 MADISON AVE 10022" "APPLE COFFEE"
"1415" "444 MADISON AVENUE 10022" "444 MADISON COFFEE SHOP"
"1416" "444 MOTHER GASTON BLVD 11212" "OUR NEIGHBOURHOOD SPANISH RESTAURANT"
"1417" "444 RALPH AVE 11233" "HALSEY STREET GRILL"
"1418" "4444 COLLEGE PT BLVD 11355" "PIZZA CON VITAMINAS"
"1419" "4445 21ST ST 11101" "PALACE CHICKEN & GRILL"
"1420" "4446 MAIN STREET 10307" "ANGELINA'S RISTORANTE"
"1421" "445 COURT ST 11231" ""
"1422" "445 GOLD ST 11201" "ALAMO DRAFTHOUSE CINEMA"
"1423" "445 MARCUS GARVEY BOULEVARD 11216" "BROOKLYN SWIRL"
"1424" "445 MORRIS PARK AVENUE 10460" "3 D'S LEGACY SALAD & GRILL"
"1425" "445 TROUTMAN ST 11237" "MONTANA'S TRAIL HOUSE"
"1426" "445 WEST  238 STREET 10463" "AN BEAL BOCHT CAFE"
"1427" "4455 BROADWAY 10040" "BODEGA PIZZA"
"1428" "4459 AMBOY RD 10312" "DESERT ROSE CAFE & LOUNGE"
"1429" "446 COLUMBUS AVE 10024" "THE MILLING ROOM"
"1430" "446 DEAN ST 11217" "PIZZA SUPERSTAR"
"1431" "446 DEAN STREET 11217" "BROCCOLINO"
"1432" "446 MOTHER GASTON BLVD 11212" ""
"1433" "446 NOME AVENUE 10314" "BARIOS PIZZA & RESTAURANT"
"1434" "446 PARK PLACE 11238" "HALF COURT SPORTS BAR"
"1435" "446 ROGERS AVE 11225" "PELS PIE CO"
"1436" "446 WILSON AVENUE 11221" "SABOR TORIBIO RESTAURANT"
"1437" "4460 BROADWAY 10040" "ANGRY BURGER"
"1438" "4461 11TH ST 11101" "THE MILL COFFEE HOUSE"
"1439" "4462 21ST ST 11101" "RED CAFE"
"1440" "4463 BROADWAY 10040" "LOCKSMITH WINE & BURGER BAR"
"1441" "4464 21ST ST 11101" "AMERIGO"
"1442" "4464 BROADWAY 10040" "Y & Y GLATT KOSHER CATERING"
"1443" "4466 BAYCHESTER AVE 10466" "ST BESS RESTAURANT"
"1444" "4469 21ST ST 11101" "I-FORTUNE COOKIE"
"1445" "446A Mother Gaston Blvd 11212" "GREAT WALL CHINESE FOOD"
"1446" "447 3RD AVE 10016" "ETHOS AUTHENTIC GREEK CUISIN"
"1447" "447 7TH AVE 11215" "HUA LUMPHONG"
"1448" "447 AMSTERDAM AVE 10024" "The Meatball Shop"
"1449" "447 EAST   13 STREET 10009" "PHOENIX"
"1450" "447 EAST   52 STREET 10022" "THE RIVER CLUB"
"1451" "447 GRAHAM AVENUE 11211" "BEANER COFFEE BAR"
"1452" "447 HUDSON STREET 10014" "HUDSON CLEARWATER"
"1453" "447 LEXINGTON AVENUE 10017" "DAVIO'S NORTHERN ITALIAN STEAKHOUSE"
"1454" "4476 BROADWAY 10040" "BUDDHA BEER BAR"
"1455" "448 5 AVENUE 11215" "DUNKIN' DONUTS, BASKIN ROBBINS"
"1456" "448 9 STREET 11215" "HANOI"
"1457" "448 ATLANTIC AVENUE 11217" "BETTY BAKERY"
"1458" "448 E 138TH ST 10454" "XIME DELI"
"1459" "448 GATEWAY DR 11239" "APPLEBEE'S"
"1460" "448 MYRTLE AVENUE 11205" "THAI 101"
"1461" "4480 21ST ST 11101" "DUNKIN' DONUTS"
"1462" "4480 BROADWAY 10040" "NO. 1 RESTAURANT"
"1463" "4484 BROADWAY 10040" ""
"1464" "448450 EAST  149 STREET 10455" "EL VALLE RESTAURANT"
"1465" "449 7TH AVENUE 11215" "MIKE DADDY'S PIZZA"
"1466" "449 AMSTERDAM AVE 10024" "BLOSSOM DU JOUR"
"1467" "449 KEAP ST 11211" "SHAKTIBARRE"
"1468" "449 NOSTRAND AVENUE 11216" "MS. DAHLIA'S CAFE"
"1469" "449 THIRD AVENUE 10016" "MOONSTRUCK EAST"
"1470" "449 WEST 51 STREET 10019" "ZORALIE RESTAURANT"
"1471" "449 WEST BROADWAY 10012" "THOMPSON ALCHEMISTS"
"1472" "44B NEW LOTS AVE 11212" "CROWN FRIED CHICKEN"
"1473" "45 1 AVENUE 10003" "AZIZA'S CAFE & LOUNGE"
"1474" "45 AVENUE S 11223" "ROZAFA LOUNGE"
"1475" "45 BAYARD ST 10013" "AA JAPANESE RAMEN"
"1476" "45 BLEECKER ST 10012" "SUBCULTURE ARTS UNDERGROUND"
"1477" "45 CATHERINE ST 10038" "DOMINO'S PIZZA"
"1478" "45 CATHERINE STREET 10038" "SHUN WEI RESTAURANT"
"1479" "45 DIVISION ST 10002" "NEW ARPING RESTAURANT"
"1480" "45 E 20TH ST 10003" "THE WING"
"1481" "45 E 33RD ST 10016" "AINSWORTH MIDTOWN"
"1482" "45 E 45TH ST 10017" "MAD 46"
"1483" "45 EAST    1 STREET 10003" "JOE & MISSES DOE"
"1484" "45 EAST   18 STREET 10003" "OLD TOWN BAR & RESTAURANT"
"1485" "45 EAST   28 STREET 10016" "THE CHURCHILL TAVERN"
"1486" "45 EAST   30 STREET 10016" "MASON JAR"
"1487" "45 EAST   34 STREET 10016" "TIBERIAS"
"1488" "45 EAST   45 STREET 10017" "CHICKPEA, RED MANGO"
"1489" "45 EAST   51 STREET 10022" "STARBUCKS"
"1490" "45 LEE AVE 11211" "PANINI LA CAFE"
"1491" "45 MERCER STREET 10013" "GALLI RESTAURANT"
"1492" "45 MOTT STREET 10013" "CHA CHAN TANG"
"1493" "45 MURRAY STREET 10007" "BENARES"
"1494" "45 PAGE AVENUE 10309" "RUBY FALLS NIGHTLIFE CAFE"
"1495" "45 ROCKEFELLER CENTER 10020" "BILL'S BAR & BURGER ROCKEFELLER CENTER"
"1496" "45 ROCKEFELLER PLAZA 10111" "BRASSERIE RUHLMANN"
"1497" "45 S 3RD ST 11249" "FREEHOLD"
"1498" "45 SPRING ST 10012" "BIRDBATH SPRING"
"1499" "45 SPRING STREET 10012" "TAIM"
"1500" "45 STONE STREET 10004" "THE DUBLINER"
"1501" "45 TWOMBLY AVE 10306" "KAPLAN'S KOSHER CATERING"
"1502" "45 W 38TH ST 10018" "SPYGLASS"
"1503" "45 W 39TH ST 10018" "ZEST SZECHUAN"
"1504" "45 W 44TH ST 10036" "GABY RESTAURANT"
"1505" "45 W 8TH ST 10011" "TIPSY GIRL"
"1506" "45 WASHINGTON ST 11201" "JUICE PRESS"
"1507" "45 WEST    4 STREET 10012" "STARBUCKS"
"1508" "45 WEST   35 STREET 10001" "METRO GRILL"
"1509" "45 WEST   46 STREET 10036" "VIA ITALIA RISTORANTE"
"1510" "45 WEST   57 STREET 10019" "FRESH & CO"
"1511" "45 WEST   81 STREET 10024" "CALLE OCHO"
"1512" "45 WEST 44 STREET 10036" "SOFITEL NEW YORK"
"1513" "45-09 34 AVENUE 11101" "HOMEMADE TAQUERIA"
"1514" "45-37C BELL BOULEVARD 11361" "NEW MAGIC CHEF"
"1515" "45-46 WESTCHESTER SQUARE 10461" "ESTRELLITA POBLANA"
"1516" "45-72 KISSENA BOULEVARD 11355" "KE ZHANG"
"1517" "450 10TH AVE 10018" "FRIEDMAN'S"
"1518" "450 AMSTERDAM AVE 10024" "THE DEAD POET"
"1519" "450 AMSTERDAM AVENUE 10024" "LAND THAI KITCHEN"
"1520" "450 BAY ST 10305" "DUNKIN' DONUTS"
"1521" "450 CLARKSON AVENUE 11203" "CAFE 101(Coffee Stand)"
"1522" "450 DEAN ST 11217" "PATSY'S PIZZERIA"
"1523" "450 E 29TH ST 10016" "RIVERPARK"
"1524" "450 HUDSON STREET 10014" "BREAD TO GO"
"1525" "450 LEXINGTON AVENUE 10017" "DAVIS POLK DINING ROOM"
"1526" "450 PARK AVENUE SOUTH 10016" "PS 450"
"1527" "450 W 15TH ST 10011" "BLUE BOTTLE COFFEE"
"1528" "450 W 33RD ST 10001" ""
"1529" "450 WASHINGTON STREET 10013" "FIKA"
"1530" "450 WEST   33 STREET 10001" "SAVORY & SWEET"
"1531" "4501 162 STREET 11358" "GABRIELA PIZZERIA & RESTAURANT"
"1532" "4501 34 AVENUE 11101" "DAY BREAK CAFE RESTAURANT"
"1533" "4501 4TH AVE 11220" "Hua Hui Bakery"
"1534" "4501 BROADWAY 11103" "TASTE OF CHINA"
"1535" "4501 DITMARS BOULEVARD 11105" "KRAVE CAFE  AND GRILL"
"1536" "4501 GLENWOOD RD 11203" "TROPICAL REFLECTIONS BALLROOM LLC"
"1537" "4501 GREENPOINT AVENUE 11104" "AVE COFFEE HOUSE"
"1538" "4502 16TH AVE 11204" "YANKY'S PIZZA"
"1539" "4502 23 STREET 11101" "THE INKAN"
"1540" "4502 30 AVENUE 11103" "THE QUAYS"
"1541" "4502 48 AVENUE 11377" "DE MOLE"
"1542" "4502 JUNCTION BOULEVARD 11368" "EL COYOTE BAR"
"1543" "4502 QUEENS BOULEVARD 11104" "NEW YORK STYLE EATS"
"1544" "4503 162 STREET 11358" "BLUTOS PUB"
"1545" "4503 47TH AVE 11377" "JUVENTUD SALUD Y VIDA (HEBALIFE)"
"1546" "4503 5 AVENUE 11220" "LA CUCINA MEXICAN GRILL AND CANTINA BAR"
"1547" "4503 8TH AVE 11220" "CHINA ONE RESTAURANT"
"1548" "4504 PARSONS BOULEVARD 11355" "SUNRISE COFFEE SHOP"
"1549" "4504 QUEENS BLVD 11104" "BLU  ORCHID RESTAURANT"
"1550" "4506 30TH AVE 11103" "MEZQUITE"
"1551" "4506 48TH AVE 11377" "The Jar Bar"
"1552" "4506 GREENPOINT AVENUE 11104" "MCDONALD'S"
"1553" "4506 PARSONS BLVD 11355" "NIGHT MARKET BBQ"
"1554" "4507 47 AVENUE 11377" "PARADOR CALENO"
"1555" "4507 DITMARS BOULEVARD 11105" "LOUKOUMI TAVERNA"
"1556" "4507 GREENPOINT AVENUE 11104" "SUBWAY"
"1557" "4507 QUEENS BLVD 11104" "El BUEN SABOR"
"1558" "4508 5 AVENUE 11220" "TACOS MATAMOROS RESTAURANT"
"1559" "4508 8TH AVE 11220" "Liu Liu Seafood Restaurant"
"1560" "4508 FORT HAMILTON PARKWAY 11219" "D & D COFFEE SHOP"
"1561" "4508 PARSONS BLVD 11355" "DR. SEA"
"1562" "4508 QUEENS BOULEVARD 11104" "SIDETRACKS RESTAURANT"
"1563" "4508 VERNON BOULEVARD 11101" "RIVERHEAD GENTLEMEN'S CLUB"
"1564" "451 CARROLL STREET 11215" "MONTE'S"
"1565" "451 CLARKSON AVE 11203" "ANDY'S CAFETERIA"
"1566" "451 CLARKSON AVENUE 11203" "KINGS COUNTY CAFETERIA BLDG T"
"1567" "451 GRAHAM AVENUE 11222" "THE RICHARDSON"
"1568" "451 GRANDVIEW AVE 11385" "SOFIA'S PIZZA HOUSE"
"1569" "451 LEXINGTON AVE 10017" "GRK"
"1570" "451 MEEKER AVENUE 11222" "R BAR"
"1571" "451 WASHINGTON ST 10013" "CHINA BLUE"
"1572" "4510 104 STREET 11368" "CAKE MIO BAKERY"
"1573" "4511 13 AVENUE 11219" "ICE CREAM CENTER & CAFE"
"1574" "4511 QUEENS BOULEVARD 11104" "OKI JAPANESE RESTARUANT"
"1575" "4512 162ND ST 11358" "NEW DRAGON CHINESE FOOD"
"1576" "4512 23RD ST 11101" "AANCHAL NATURAL BRIDGE RESTAURANT"
"1577" "4512 GREENPOINT AVE 11104" "FOUR SQUARED FLAVORS"
"1578" "4513 MANHATTAN COLLEGE PARKWAY 10471" "CAFE 1853"
"1579" "4513 MANHATTAN COLLEGE PKWY 10471" "DANTE'S AT KELLY COMMONS"
"1580" "4513 QUEENS BOULEVARD 11104" "DUNKIN' DONUTS"
"1581" "4514 13 AVENUE 11219" "BENNY'S FAMOUS PIZZA"
"1582" "4514 162 STREET 11358" "DAE SUNG KOREAN RESTAURANT"
"1583" "4514 48TH AVE 11377" "CEMITAS EL TIGRE"
"1584" "451455 MORRIS PK AVE 10460" "BAR & RESTAURANT EL SALVADORENO"
"1585" "4515 162 STREET 11358" "MR. COCO"
"1586" "4515 BROADWAY 11103" "LAVELLE'S ADMIRAL'S CLUB"
"1587" "4516 48TH AVE 11377" "GOOD LUCK CHINESE RESTAURANT"
"1588" "4516 5 AVENUE 11220" "LA GRAN VIA BAKERY"
"1589" "4516 QUEENS BOULEVARD 11104" "ALPHA DONUTS"
"1590" "4517 28TH AVE 11103" "FATTY'S CAFE"
"1591" "4518 104 STREET 11368" "TONY'S PIZZERIA & RESTAURANT"
"1592" "4518 5TH AVE 11220" "POLLO CAMPERO"
"1593" "4518 8 AVENUE 11220" "GOOD VIEW DELICIOUS BAKERY"
"1594" "4518 BELL BOULEVARD 11361" "CUE BAR"
"1595" "4519 28 AVENUE 11103" "PRONTO PIZZA"
"1596" "4519 BROADWAY 11103" "D-LITE DONUTS"
"1597" "452 3RD AVE 11215" "KANAN INDIAN RESTAURANT"
"1598" "452 5 AVENUE 10018" "HSBC BANK"
"1599" "452 5TH AVE 11215" "Daisy's Diner"
"1600" "452 AMSTERDAM AVE 10024" "SENN THAI COMFORT FOOD"
"1601" "452 E NEW YORK AVE 11225" "KATIE O'S"
"1602" "4520 SKILLMAN AVENUE 11104" "THE DOG AND DUCK"
"1603" "4521 3 AVENUE 10457" "DUNKIN' DONUTS"
"1604" "4521 AVENUE N 11234" "SAIGON BAR AND GRILL"
"1605" "4521 PARSONS BLVD 11355" "PIONEER CUISINE DUMPLING & NOODLES"
"1606" "4522 AVENUE N 11234" "ALIOTTA BAKE SHOP"
"1607" "4523 5 AVENUE 11220" "FLORIDITA RESTAURANT"
"1608" "4523 GREENPOINT AVE 11104" "RIKO PERUVIAN CUISINE"
"1609" "4525 CHURCH AVENUE 11203" "FISH BONE"
"1610" "4526 46TH ST 11104" "DUMPLINGS AND THINGS"
"1611" "453 _WEST   54 STREET 10019" "CAFE OLE USA"
"1612" "453 4TH AVE 11215" "BREADFRUIT TREE CAFE"
"1613" "453 7 AVENUE 11215" "KIKU SUSHI"
"1614" "453 E 78TH ST 10075" "OLA' VIVABAR"
"1615" "453 WEST   17 STREET 10011" "1 OAK"
"1616" "4530 23 STREET 11101" "COURT SQUARE DINER"
"1617" "4530 BELL BLVD 11361" "TOSOCCHON"
"1618" "4534 BELL BLVD 11361" "PHO 32"
"1619" "453461 6 AVENUE 10011" "SAMMY'S NOODLE SHOP & GRILL"
"1620" "4535 PARK AVENUE 10457" "EL LIDER RESTAURANT"
"1621" "4537 BELL BOULEVARD 11361" "BONCHON"
